surveyname,datestart,dateclose,crsnum,crsname,crsyear,deptname,crs_dir,resp_fac,eval_id,eval_uname,eval_email,tsubmit,mobile,gradyear,gender,program,research1,research2,research3,The instructor has set clear standards regarding their timeliness in responding to messages,The instructor has provided the appropriate information and contact details for technical concerns,The instructor showed interest in student progress,The instructor encourages learners to participate,The instructor implements Small Group Discussions (Breakout Rooms),The instructor provides equal opportunities for students to share ideas and viewpoints,The instructor requires learners to participate,The instructor provides platforms for Small Group Discussions,Tasks deployed require collaboration among students,The instructor interactively engages learners in a variety of instructional delivery methods,The instructor deploys various active learning techniques (role-playing  case studies  group projects  think-pair-share  debates  etc.),The instructor provides students access to resources that enrich the course content,The instructor demonstrates a thorough knowledge of the subject matter,The instructor provides examples  case studies  or problem sets that required higher-order thinking skills,The instructor explains the significance of the lessons,Tasks and assessments increase their level of challenge,The instructor provides examples or models of what is expected,Course outcomes are clearly presented,Course deadlines are clearly set,Provides reminders regarding upcoming deadlines,The instructor provides clear guidelines and/or rubrics of the learning activities,The instructor provides Information Feedback (Evaluation of Work  Answers to Questions  Comments on Submissions),The instructor provides Acknowledgment Feedback (acknowledges communication sent by student),The instructor returns assessments in a timely fashion,The instructor engages students in learning activities that address a variety of learning styles and preferences,The instructor adapts learning activities to accommodate students’ needs,Quality of work is praised,The instructor is effective in helping students develop their knowledge  skills  and personalities enabling them to achieve the intended learning outcomes,Course assessments are authentic and measure Higher-Order Thinking Skills,The instructor provides sufficient attempts in the attainment of learning outcomes,Comments on the Instructor,Comments on the Course
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT103-B.C411.1T.23.24 C411,Updates in Financial Reporting Standards,1,ATYCB,Course Director,Respective Facilitator,202011056,Evaluatee Name,Evaluatee Name@mcm.edu.ph,10/31/23 18:30,0,,,Default,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,N/A,N/A
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT103.C111.1T.23.24 C111,Financial Accounting and Reporting,1,ATYCB,Course Director,Respective Facilitator,209900048,Evaluatee Name,Evaluatee Name@mcm.edu.ph,10/13/23 0:10,0,,,Default,,,,1,2,2,4,1,4,3,1,3,1,1,1,2,2,3,3,2,2,2,2,2,2,4,3,1,1,2,1,4,4,none,none
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT103.C111.1T.23.24 C111,Financial Accounting and Reporting,1,ATYCB,Course Director,Respective Facilitator,209900048,Evaluatee Name,Evaluatee Name@mcm.edu.ph,11/23/23 19:25,0,,,Default,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Good,Great
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT103.C111.1T.23.24 C111,Financial Accounting and Reporting,1,ATYCB,Course Director,Respective Facilitator,209900048,Evaluatee Name,Evaluatee Name@mcm.edu.ph,11/16/23 1:15,1,,,Default,,,,4,4,3,4,5,4,4,4,4,4,4,4,5,5,5,3,4,3,2,3,3,2,3,3,3,3,3,3,3,3,None,None
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT103.C111.1T.23.24 C111,Financial Accounting and Reporting,1,ATYCB,Course Director,Respective Facilitator,209900048,Evaluatee Name,Evaluatee Name@mcm.edu.ph,11/19/23 15:23,1,,,Default,,,,3,4,3,4,3,3,4,3,4,4,4,4,3,3,3,3,5,5,5,5,5,3,3,5,5,5,4,4,4,4,N/A,N/A
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT103.C111.1T.23.24 C111,Financial Accounting and Reporting,1,ATYCB,Course Director,Respective Facilitator,209900048,Evaluatee Name,Evaluatee Name@mcm.edu.ph,11/24/23 14:46,0,,,Default,,,,4,5,5,4,3,4,4,4,5,5,2,5,5,5,5,4,5,4,4,4,5,4,5,4,5,3,4,4,5,4,The instructor did a good job in regards to delivering the lessons in a comprehensible manner and engages students by giving activities that are manageable.,"The course's structure lets students learn at a consistent pace and with it, it lets the students think critically to situations that are similar to the lessons in the course."
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT103.C111.1T.23.24 C111,Financial Accounting and Reporting,1,ATYCB,Course Director,Respective Facilitator,209900048,Evaluatee Name,Evaluatee Name@mcm.edu.ph,11/15/23 19:17,0,,,Default,,,,4,4,4,4,3,4,4,4,4,4,3,4,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,"Thank you, ma'am.",Nice.
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT103.C112.1T.23.24 C112,Financial Accounting and Reporting,1,ATYCB,Course Director,Respective Facilitator,209900048,Evaluatee Name,Evaluatee Name@mcm.edu.ph,10/21/23 20:48,0,,,Default,,,,3,3,4,4,-1,-1,3,-1,3,3,3,4,4,4,4,4,4,3,4,4,4,3,3,3,4,4,3,3,3,3,none,none
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT103.C112.1T.23.24 C112,Financial Accounting and Reporting,1,ATYCB,Course Director,Respective Facilitator,209900048,Evaluatee Name,Evaluatee Name@mcm.edu.ph,11/19/23 12:17,1,,,Default,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,na,na
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT103.C112.1T.23.24 C112,Financial Accounting and Reporting,1,ATYCB,Course Director,Respective Facilitator,209900048,Evaluatee Name,Evaluatee Name@mcm.edu.ph,10/12/23 18:22,0,,,Default,,,,5,5,5,5,-1,4,5,-1,-1,3,3,3,3,4,4,5,4,4,4,4,4,3,4,4,4,4,4,4,4,4,n/a,hirap
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT103.C112.1T.23.24 C112,Financial Accounting and Reporting,1,ATYCB,Course Director,Respective Facilitator,209900048,Evaluatee Name,Evaluatee Name@mcm.edu.ph,11/12/23 18:56,1,,,Default,,,,2,1,2,3,1,2,3,1,3,1,2,1,4,4,1,3,3,1,4,1,1,3,3,1,2,1,1,1,1,1,The instructor&#8217;s teaching style does not help the students.,It is hard to understand if not properly studied
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT103.C112.1T.23.24 C112,Financial Accounting and Reporting,1,ATYCB,Course Director,Respective Facilitator,209900048,Evaluatee Name,Evaluatee Name@mcm.edu.ph,10/20/23 22:44,0,,,Default,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,none,none
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT103.C112.1T.23.24 C112,Financial Accounting and Reporting,1,ATYCB,Course Director,Respective Facilitator,209900048,Evaluatee Name,Evaluatee Name@mcm.edu.ph,10/15/23 10:51,0,,,Default,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,very considerate,"very hard, but bearable for now"
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT103.C112.1T.23.24 C112,Financial Accounting and Reporting,1,ATYCB,Course Director,Respective Facilitator,209900048,Evaluatee Name,Evaluatee Name@mcm.edu.ph,10/11/23 16:30,1,,,Default,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,N/A,N/A
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT103.C112.1T.23.24 C112,Financial Accounting and Reporting,1,ATYCB,Course Director,Respective Facilitator,209900048,Evaluatee Name,Evaluatee Name@mcm.edu.ph,10/15/23 20:46,0,,,Default,,,,5,5,5,5,-1,5,5,-1,-1,5,-1,5,5,5,5,5,5,5,5,4,5,4,4,4,5,4,4,5,5,5,She's excellent at what she does,N/A
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT103.C112.1T.23.24 C112,Financial Accounting and Reporting,1,ATYCB,Course Director,Respective Facilitator,209900048,Evaluatee Name,Evaluatee Name@mcm.edu.ph,10/31/23 14:38,0,,,Default,,,,5,5,5,4,-1,3,5,-1,4,4,-1,5,5,4,5,5,5,4,5,5,4,2,4,1,3,5,3,3,4,3,"I appreciate Ma'am Joson and her efforts to teach us the fundamentals of accounting even in a short time. However, I do sometimes lose track of the lesson of how fast she discusses it. Often, she would share something that is not quite related to the main topic (e.g., experiences related to the topic, quick reminders between lectures) All in all, Ma'am Joson is a great teacher for me.",No comment. The problem lies within me.
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT103.C112.1T.23.24 C112,Financial Accounting and Reporting,1,ATYCB,Course Director,Respective Facilitator,209900048,Evaluatee Name,Evaluatee Name@mcm.edu.ph,10/12/23 18:32,1,,,Default,,,,3,3,3,3,3,3,3,3,3,3,3,3,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,My ratings are mostly neutral due the fact that ma'am is still new and still adjusting to the system of the school.,None
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT103.C112.1T.23.24 C112,Financial Accounting and Reporting,1,ATYCB,Course Director,Respective Facilitator,209900048,Evaluatee Name,Evaluatee Name@mcm.edu.ph,11/21/23 20:59,1,,,Default,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Good,Excellent
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT103.C112.1T.23.24 C112,Financial Accounting and Reporting,1,ATYCB,Course Director,Respective Facilitator,209900048,Evaluatee Name,Evaluatee Name@mcm.edu.ph,10/18/23 17:09,0,,,Default,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,None,None
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT103.C112.1T.23.24 C112,Financial Accounting and Reporting,1,ATYCB,Course Director,Respective Facilitator,209900048,Evaluatee Name,Evaluatee Name@mcm.edu.ph,11/20/23 23:43,1,,,Default,,,,4,3,3,4,4,3,4,3,3,3,3,3,3,4,5,5,4,3,4,4,3,4,3,4,4,4,3,3,4,4,None,none
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT103.C112.1T.23.24 C112,Financial Accounting and Reporting,1,ATYCB,Course Director,Respective Facilitator,209900048,Evaluatee Name,Evaluatee Name@mcm.edu.ph,10/12/23 19:09,0,,,Default,,,,5,5,5,5,-1,5,5,-1,5,5,5,5,5,5,5,5,5,5,-1,-1,5,5,5,5,5,5,5,5,5,5,The instructor was very pleasant and accommodating. She answered every question promptly and provided timely and relevant information about the subject. The challenging exercises given during the course helped me improve my critical thinking skills.,"Although the course started late, it was still enjoyable and easy to understand. The different instructors, Sir Emba and Ma'am Joson, made the course as easy and entertaining as possible."
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT103.C112.1T.23.24 C112,Financial Accounting and Reporting,1,ATYCB,Course Director,Respective Facilitator,209900048,Evaluatee Name,Evaluatee Name@mcm.edu.ph,11/22/23 21:55,0,,,Default,,,,5,3,3,3,3,3,3,3,5,4,4,4,5,5,5,4,3,4,4,4,4,3,3,3,3,3,4,4,4,4,Ma'am Joson is very professional and knowledgeable about the course subject.,Harder than I thought it would be
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT103.C113.1T.23.24 C113,Financial Accounting and Reporting,1,ATYCB,Course Director,Respective Facilitator,209900054,Evaluatee Name,Evaluatee Name@mcm.edu.ph,10/27/23 12:17,0,,,Default,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Miss Maybelle is very patient with us in teaching. She really find ways to help us understand. She is good in teaching. I really recommend her.,The course is just fine.
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT103.C113.1T.23.24 C113,Financial Accounting and Reporting,1,ATYCB,Course Director,Respective Facilitator,209900054,Evaluatee Name,Evaluatee Name@mcm.edu.ph,10/19/23 0:43,0,,,Default,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,The instructor is a good professor who discusses her knowledge to us without any hesitation. The class is very interactive and fun. The effort that she gives is exceptional.,"The course is challenging and difficult, it is a trial-and-error process of learning. In the end, it leaves us the feeling of satisfaction and happiness."
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT103.C113.1T.23.24 C113,Financial Accounting and Reporting,1,ATYCB,Course Director,Respective Facilitator,209900054,Evaluatee Name,Evaluatee Name@mcm.edu.ph,11/1/23 15:07,1,,,Default,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,None
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT103.C113.1T.23.24 C113,Financial Accounting and Reporting,1,ATYCB,Course Director,Respective Facilitator,209900054,Evaluatee Name,Evaluatee Name@mcm.edu.ph,10/13/23 10:13,0,,,Default,,,,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,5,5,5,5,4,4,5,5,5,Miss is a good instructor and I like her PPT's.,I like how the course introduces us to the topics
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT103.C113.1T.23.24 C113,Financial Accounting and Reporting,1,ATYCB,Course Director,Respective Facilitator,209900054,Evaluatee Name,Evaluatee Name@mcm.edu.ph,11/6/23 14:59,0,,,Default,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Thank you for making the lesson easier for us.,Its hard but made easy by the instructor.
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT103.C113.1T.23.24 C113,Financial Accounting and Reporting,1,ATYCB,Course Director,Respective Facilitator,209900054,Evaluatee Name,Evaluatee Name@mcm.edu.ph,10/11/23 11:02,1,,,Default,,,,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,She is a good instructor. Considerate with us being the subject she is teaching is somehow hard. Encourages us to ask questions on topics we dont understand.,The course is somehow hard and confusing since act103 and act115 are merged into one subject
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT103.C113.1T.23.24 C113,Financial Accounting and Reporting,1,ATYCB,Course Director,Respective Facilitator,209900054,Evaluatee Name,Evaluatee Name@mcm.edu.ph,10/11/23 20:25,0,,,Default,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,None,None
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT110.C211.1T.23.24 C211,InterMediate Accounting 1,1,ATYCB,Course Director,Respective Facilitator,202011056,Evaluatee Name,Evaluatee Name@mcm.edu.ph,11/23/23 16:31,0,,,Default,,,,4,4,4,4,4,4,3,4,5,4,3,4,3,4,5,4,5,3,5,3,5,5,4,4,3,4,5,4,5,4,none,none
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT110.C211.1T.23.24 C211,InterMediate Accounting 1,1,ATYCB,Course Director,Respective Facilitator,202011056,Evaluatee Name,Evaluatee Name@mcm.edu.ph,10/29/23 21:42,0,,,Default,,,,4,2,2,2,1,1,2,2,1,2,1,3,2,2,3,2,2,4,4,4,4,2,3,3,1,1,2,2,2,1,"Our professor is adept at organizing all the necessary lessons that need to be covered. However, due to the fast pace, we weren't able to keep up and fully grasp the lessons. This was exacerbated by the fact that during some discussions, he assumed we already knew how to solve the problems immediately. In reality, some students, particularly slow learners, struggled to keep up. It would be beneficial if he attempted to adjust to the students' learning pace. With that, we should prioritize understanding the material rather than rushing through lessons without a clear grasp of the content.","The pace is so fast that we have to attend classes for 2-3 hours a day, four days a week. Sometimes, we have no choice but to move on to the next lesson without a full understanding, leading students to self-study. Our quizzes are particularly challenging, involving complex problems in a fill-in-the-blank format. It would greatly benefit us if quizzes allowed at least 2 attempts, providing students with an opportunity to enhance their scores, especially considering that our instructor rarely allows retakes unless for special reasons. Accounting is difficult, and this learning strategy makes it even more challenging for students who are eager to learn."
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT110.C211.1T.23.24 C211,InterMediate Accounting 1,1,ATYCB,Course Director,Respective Facilitator,202011056,Evaluatee Name,Evaluatee Name@mcm.edu.ph,10/15/23 18:59,0,,,Default,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,1,1,3,1,3,1,he teaches so fast we cannot effectively cope up the lessons,cool but challenging
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT110.C211.1T.23.24 C211,InterMediate Accounting 1,1,ATYCB,Course Director,Respective Facilitator,202011056,Evaluatee Name,Evaluatee Name@mcm.edu.ph,10/11/23 15:08,0,,,Default,,,,3,1,-1,2,-1,1,1,1,1,1,1,1,3,1,3,5,3,2,5,4,5,1,1,4,1,1,1,1,1,1,"The instruction is very insensitive about his jokes. He clearly do not apply what he demonstrate. His teaching pace is not student friendly, he just let the student do it on their own.",Hard
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT110.C211.1T.23.24 C211,InterMediate Accounting 1,1,ATYCB,Course Director,Respective Facilitator,202011056,Evaluatee Name,Evaluatee Name@mcm.edu.ph,10/7/23 18:07,1,,,Default,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,None,None
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT110.C211.1T.23.24 C211,InterMediate Accounting 1,1,ATYCB,Course Director,Respective Facilitator,202011056,Evaluatee Name,Evaluatee Name@mcm.edu.ph,11/9/23 16:12,1,,,Default,,,,5,5,4,4,4,5,5,4,4,3,4,4,4,4,4,4,4,4,5,5,5,4,4,5,4,4,3,4,5,4,No comment,No comment
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT110.C211.1T.23.24 C211,InterMediate Accounting 1,1,ATYCB,Course Director,Respective Facilitator,202011056,Evaluatee Name,Evaluatee Name@mcm.edu.ph,10/25/23 19:22,0,,,Default,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Sir Benson is a good teacher.,This is a hard course
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT110.C211.1T.23.24 C211,InterMediate Accounting 1,1,ATYCB,Course Director,Respective Facilitator,202011056,Evaluatee Name,Evaluatee Name@mcm.edu.ph,11/23/23 17:44,0,,,Default,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Quality of instruction is excellent. Thank you very much for the fun and valuable lessons, sir. However, it makes me sad every time some of your students take your multiple considerations for granted.",A rollercoaster ride
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT110.C211.1T.23.24 C211,InterMediate Accounting 1,1,ATYCB,Course Director,Respective Facilitator,202011056,Evaluatee Name,Evaluatee Name@mcm.edu.ph,10/11/23 14:55,0,,,Default,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-great!,-great!
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT110.C211.1T.23.24 C211,InterMediate Accounting 1,1,ATYCB,Course Director,Respective Facilitator,202011056,Evaluatee Name,Evaluatee Name@mcm.edu.ph,10/31/23 21:04,1,,,Default,,,,5,5,5,3,-1,2,2,1,1,1,3,1,1,1,1,2,1,1,5,5,5,1,1,2,1,1,2,1,1,1,N/A,N/A
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT110.C211.1T.23.24 C211,InterMediate Accounting 1,1,ATYCB,Course Director,Respective Facilitator,202011056,Evaluatee Name,Evaluatee Name@mcm.edu.ph,11/2/23 13:36,1,,,Default,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,.,.
23.24.1T | College Faculty Performance Evaluation,10/6/2023,3/15/2024,ACT110.C211.1T.23.24 C211,InterMediate Accounting 1,1,ATYCB,Course Director,Respective Facilitator,202011056,Evaluatee Name,Evaluatee Name@mcm.edu.ph,10/27/23 17:14,1,,,Default,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Teach very well and make sure students will understand it,Hard but i learn something
